code,name,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,raw_return,net_return,max_price,support_level,stop_loss_price
739,普洛药业,2026-07-01,2026-07-02,17.1972,2026-07-10,17.389,trailing_stop,6,1.12,0.96,18.92,16.04,15.5588
1301,尚太科技,2026-07-01,2026-07-02,90.1701,2026-07-03,81.0719,hard_stop,1,-10.09,-10.23,90.66,82.1,79.637
600927,永安期货,2026-07-01,2026-07-02,12.8729,2026-07-31,13.2467,max_hold,21,2.9,2.75,13.32,12.26,11.8922
605177,东亚药业,2026-07-01,2026-07-02,17.8178,2026-07-09,16.02,hard_stop,5,-10.09,-10.23,18.58,16.55,16.0535
605366,宏柏新材,2026-07-01,2026-07-02,12.2622,2026-07-06,11.025,hard_stop,2,-10.09,-10.23,13.43,10.86,10.5342
926,福星股份,2026-07-02,2026-07-03,2.0721,2026-07-10,1.9044,trailing_stop,5,-8.09,-8.23,2.0721,1.95,1.8915
2251,步步高,2026-07-02,2026-07-03,3.5936,2026-07-10,3.4691,support_stop,5,-3.46,-3.61,3.65,3.58,3.4726
600679,上海凤凰,2026-07-02,2026-07-03,9.0991,2026-07-31,9.5305,max_hold,20,4.74,4.58,9.58,8.7,8.439
603383,顶点软件,2026-07-02,2026-07-03,27.6376,2026-07-13,26.4739,support_stop,6,-4.21,-4.36,28.2,27.32,26.5004
603606,东方电缆,2026-07-02,2026-07-03,43.4934,2026-07-09,39.105,hard_stop,4,-10.09,-10.23,44.25,40.16,38.9552
2638,勤上股份,2026-07-03,2026-07-06,4.0641,2026-07-13,3.654,hard_stop,5,-10.09,-10.23,4.1,3.92,3.8024
2795,永和智控,2026-07-03,2026-07-06,6.8669,2026-07-08,6.174,hard_stop,2,-10.09,-10.23,7.0,6.79,6.5863
600503,华丽家族,2026-07-03,2026-07-06,2.1221,2026-07-13,2.0059,support_stop,5,-5.48,-5.62,2.15,2.07,2.0079
600784,鲁银投资,2026-07-03,2026-07-06,7.7577,2026-07-13,7.224,trailing_stop,5,-6.88,-7.02,7.86,7.03,6.8191
603598,引力传媒,2026-07-03,2026-07-06,17.017,2026-07-13,16.522,support_stop,5,-2.91,-3.06,17.48,17.05,16.5385
600280,中央商场,2026-07-21,2026-07-22,2.4725,2026-07-31,2.7672,max_hold,7,11.92,11.76,2.9,2.53,2.4541
600721,百花医药,2026-07-21,2026-07-22,6.7467,2026-07-31,7.023,max_hold,7,4.09,3.94,7.29,6.47,6.2759
601177,杭齿前进,2026-07-21,2026-07-22,12.2422,2026-07-31,12.8671,max_hold,7,5.1,4.95,12.92,11.9,11.543
600992,贵绳股份,2026-07-22,2026-07-23,9.3593,2026-07-30,8.9151,support_stop,5,-4.75,-4.89,9.68,9.2,8.924
2533,金杯电工,2026-07-24,2026-07-27,10.5205,2026-07-31,11.4086,max_hold,4,8.44,8.28,11.54,10.35,10.0395
603221,爱丽家居,2026-07-27,2026-07-28,16.9569,2026-07-31,22.5175,max_hold,3,32.79,32.6,22.54,10.86,10.5342
1296,长江材料,2026-07-28,2026-07-29,16.6967,2026-07-31,17.1728,max_hold,2,2.85,2.7,17.27,16.66,16.1602
2871,伟隆股份,2026-07-28,2026-07-29,15.7858,2026-07-31,15.4246,max_hold,2,-2.29,-2.44,15.9,14.96,14.5112
600241,时代万恒,2026-07-28,2026-07-29,6.7668,2026-07-31,6.8132,max_hold,2,0.69,0.54,7.48,6.46,6.2662
603112,华翔股份,2026-07-28,2026-07-29,14.2242,2026-07-31,14.5255,max_hold,2,2.12,1.97,14.66,13.87,13.4539
605319,无锡振华,2026-07-28,2026-07-29,22.3723,2026-07-31,22.7372,max_hold,2,1.63,1.48,23.27,21.95,21.2915
600826,兰生股份,2026-07-29,2026-07-30,7.7778,2026-07-31,7.992,max_hold,1,2.75,2.6,8.04,7.6,7.372
603330,天洋新材,2026-07-29,2026-07-30,6.5966,2026-07-31,6.9231,max_hold,1,4.95,4.79,7.11,6.63,6.4311
