scan_date,code,name,score,current_close,surge_date,support_level,drop_rate,min_vol_ratio,surge_volume_ratio,surge_pct,low_after_surge
2026-07-01,000739,普洛药业,100.0,16.66,2026-06-29,16.04,0.1766,3.1257,3.1257,0.067,16.53
2026-07-01,001301,尚太科技,100.0,93.51,2026-06-29,82.1,0.1648,2.0801,2.0801,0.1,91.55
2026-07-01,600927,永安期货,100.0,12.45,2026-06-15,12.26,0.2479,1.7703,1.7703,0.0505,12.33
2026-07-01,605177,东亚药业,100.0,17.11,2026-06-29,16.55,0.33,2.2348,2.2348,0.073,16.6
2026-07-01,605366,宏柏新材,100.0,13.03,2026-06-24,10.86,0.213,2.927,2.927,0.1,12.58
2026-07-02,000926,福星股份,100.0,2.04,2026-07-01,1.95,0.2883,3.0772,3.0772,0.0785,2.03
2026-07-02,002251,步步高,98.57,3.57,2026-07-01,3.58,0.3115,2.4112,2.4112,0.0621,3.54
2026-07-02,600679,上海凤凰,98.95,9.09,2026-06-29,8.7,0.2422,2.0758,2.0758,0.0528,8.81
2026-07-02,603383,顶点软件,100.0,27.56,2026-07-01,27.32,0.2102,2.6903,2.6903,0.0674,27.5
2026-07-02,603606,东方电缆,98.98,42.5,2026-06-29,40.16,0.3774,1.917,1.917,0.0999,39.8
2026-07-03,002638,勤上股份,100.0,4.11,2026-06-29,3.92,0.1984,1.8311,1.8311,0.1014,4.0
2026-07-03,002795,永和智控,100.0,6.86,2026-07-01,6.79,0.2371,2.6529,2.6529,0.0822,6.78
2026-07-03,600503,华丽家族,100.0,2.13,2026-07-02,2.07,0.3257,2.7724,2.7724,0.0686,2.11
2026-07-03,600784,鲁银投资,100.0,7.8,2026-07-02,7.03,0.2011,2.338,2.338,0.0615,7.54
2026-07-03,603598,引力传媒,100.0,17.09,2026-07-02,17.05,0.2995,3.1537,3.1537,0.0657,17.01
2026-07-21,600280,中央商场,100.0,2.57,2026-07-17,2.53,0.3976,3.6113,3.6113,0.0735,2.51
2026-07-21,600721,百花医药,100.0,6.86,2026-07-16,6.47,0.209,3.1075,3.1075,0.0978,6.53
2026-07-21,601177,杭齿前进,100.0,12.09,2026-07-06,11.9,0.3561,2.9326,2.9326,0.0755,11.84
2026-07-22,600992,贵绳股份,100.0,9.53,2026-07-10,9.2,0.3185,3.5863,3.5863,0.1002,9.28
2026-07-24,002533,金杯电工,100.0,10.51,2026-07-23,10.35,0.2008,2.1655,2.1655,0.0618,10.46
2026-07-27,603221,爱丽家居,100.0,15.4,2026-07-24,10.86,0.213,5.2568,5.2568,0.0998,15.4
2026-07-28,001296,长江材料,100.0,16.65,2026-07-27,16.66,0.2911,2.3718,2.3718,0.0607,16.5
2026-07-28,002871,伟隆股份,100.0,15.76,2026-07-27,14.96,0.3704,2.094,2.094,0.0652,15.63
2026-07-28,600241,时代万恒,100.0,6.8,2026-07-27,6.46,0.2151,3.4595,3.4595,0.0669,6.48
2026-07-28,603112,华翔股份,100.0,14.21,2026-07-27,13.87,0.2603,3.8518,3.8518,0.0701,14.18
2026-07-28,605319,无锡振华,100.0,22.35,2026-07-27,21.95,0.2402,2.0719,2.0719,0.071,22.0
2026-07-29,600826,兰生股份,100.0,7.74,2026-07-28,7.6,0.2415,2.8773,2.8773,0.0629,7.65
2026-07-29,603330,天洋新材,100.0,6.68,2026-07-28,6.63,0.2871,3.4982,3.4982,0.0635,6.54
2026-07-31,002277,友阿股份,100.0,5.58,2026-07-29,5.5,0.1888,4.5689,4.5689,0.0789,5.51
2026-07-31,002602,世纪华通,100.0,13.54,2026-07-29,12.74,0.1535,3.5407,3.5407,0.0823,13.0
2026-07-31,603444,吉比特,100.0,383.34,2026-07-29,330.99,0.1513,2.866,2.866,0.082,372.0
2026-07-31,603819,神力股份,100.0,11.92,2026-07-29,10.73,0.2433,2.554,2.554,0.0661,11.85
2026-07-31,603969,银龙股份,100.0,7.12,2026-07-29,6.99,0.1834,3.2167,3.2167,0.0693,7.04
