计划,品种,归一化名称,2019配置占比(%),当前净持仓(份),累计买入(份),累计卖出(份),数据来源
150,A股,A股,65.19,0.0,0.0,0.0,仅图片确认(2018/2019)
150,中小盘,中小盘,17.45,0.0,0.0,0.0,仅图片确认(2018/2019)
150,中证500,中证500,14.95,-6.0,0.0,6.0,双重确认 ✓
150,货币,货币,12.34,0.0,0.0,0.0,仅图片确认(2018/2019)
150,大盘,大盘,11.63,0.0,0.0,0.0,仅图片确认(2018/2019)
150,海外新兴,海外新兴,9.86,0.0,0.0,0.0,仅图片确认(2018/2019)
150,中证红利,中证红利,9.44,0.0,1.0,1.0,双重确认 ✓
150,价值,价值,9.44,0.0,0.0,0.0,仅图片确认(2018/2019)
150,上证50,上证50,9.39,-2.0,1.0,3.0,双重确认 ✓
150,恒生医疗,恒生指数,8.63,-7.0,1.0,8.0,双重确认 ✓
150,香港,香港,8.63,0.0,0.0,0.0,仅图片确认(2018/2019)
150,债券,债券,7.04,0.0,0.0,0.0,仅图片确认(2018/2019)
150,1-3年国开债,7-10年国开债,6.93,2.0,2.0,0.0,双重确认 ✓
150,大摩健康产业,养老产业,6.92,2.0,2.0,0.0,双重确认 ✓
150,全指医药,全指医药,6.14,7.0,8.0,1.0,双重确认 ✓
150,沪深300,沪深300,5.31,0.0,0.0,0.0,仅图片确认(2018/2019)
150,中证环保,中证环保,5.26,0.0,1.0,1.0,双重确认 ✓
150,兴全转债,兴全转债,4.18,0.0,0.0,0.0,仅图片确认(2018/2019)
150,中证传媒,中证传媒,2.78,-4.0,0.0,4.0,双重确认 ✓
150,广发纯债,广发纯债,2.71,0.0,0.0,0.0,仅图片确认(2018/2019)
150,创业板,创业板,2.50,0.0,1.0,1.0,双重确认 ✓
150,黄金,黄金,2.24,-1.0,0.0,1.0,双重确认 ✓
150,原油,原油,2.09,0.0,0.0,0.0,仅图片确认(2018/2019)
150,信息技术,全指金融,2.02,-9.0,0.0,9.0,双重确认 ✓
150,中国海外互联,中国海外互联,1.23,-1.0,0.0,1.0,双重确认 ✓
150,300C,消费,0.73,6.0,8.0,2.0,双重确认 ✓
150,豆粕,豆粕,0.56,0.0,0.0,0.0,仅图片确认(2018/2019)
150,博时债,博时信用债,,-1.0,0.0,1.0,仅发车记录(2019-2026)
150,纳斯达克100,德国DAX,,-3.0,0.0,3.0,仅发车记录(2019-2026)
150,中银美元债,海外收益债,,4.0,4.0,0.0,仅发车记录(2019-2026)
S,A股,A股,65.19,0.0,0.0,0.0,仅图片确认(2018/2019)
S,中小盘,中小盘,17.45,0.0,0.0,0.0,仅图片确认(2018/2019)
S,富国500,中证500,14.95,-3.0,0.0,3.0,双重确认 ✓
S,货币,货币,12.34,0.0,0.0,0.0,仅图片确认(2018/2019)
S,大盘,大盘,11.63,0.0,0.0,0.0,仅图片确认(2018/2019)
S,海外新兴,海外新兴,9.86,0.0,0.0,0.0,仅图片确认(2018/2019)
S,中证红利,中证红利,9.44,0.0,2.0,2.0,双重确认 ✓
S,价值,价值,9.44,0.0,0.0,0.0,仅图片确认(2018/2019)
S,上证50,上证50,9.39,-1.0,1.0,2.0,双重确认 ✓
S,恒生医疗,恒生指数,8.63,-7.0,1.0,8.0,双重确认 ✓
S,香港,香港,8.63,0.0,0.0,0.0,仅图片确认(2018/2019)
S,债券,债券,7.04,0.0,0.0,0.0,仅图片确认(2018/2019)
S,1-3年国开债,7-10年国开债,6.93,1.0,1.0,0.0,双重确认 ✓
S,大摩健康产业,养老产业,6.92,2.0,2.0,0.0,双重确认 ✓
S,中证医疗A,全指医药,6.14,9.0,10.0,1.0,双重确认 ✓
S,沪深300,沪深300,5.31,0.0,0.0,0.0,仅图片确认(2018/2019)
S,环保,中证环保,5.26,1.0,1.0,0.0,双重确认 ✓
S,兴全转债,兴全转债,4.18,0.0,0.0,0.0,仅图片确认(2018/2019)
S,中证传媒,中证传媒,2.78,-1.0,1.0,2.0,双重确认 ✓
S,广发纯债,广发纯债,2.71,0.0,0.0,0.0,仅图片确认(2018/2019)
S,创业板,创业板,2.50,-1.0,1.0,2.0,双重确认 ✓
S,黄金,黄金,2.24,-1.0,0.0,1.0,双重确认 ✓
S,原油,原油,2.09,0.0,0.0,0.0,仅图片确认(2018/2019)
S,信息技术,全指金融,2.02,-6.0,0.0,6.0,双重确认 ✓
S,中国海外互联,中国海外互联,1.23,0.0,1.0,1.0,双重确认 ✓
S,300C,消费,0.73,8.0,10.0,2.0,双重确认 ✓
S,豆粕,豆粕,0.56,0.0,0.0,0.0,仅图片确认(2018/2019)
S,纳斯达克100,德国DAX,,-3.0,0.0,3.0,仅发车记录(2019-2026)
S,富国全球债A,海外收益债,,4.0,4.0,0.0,仅发车记录(2019-2026)
